Topic,Count,Name,Representation,Representative_Docs
-1,278,-1_electrical_power_system_electric,"['electrical', 'power', 'system', 'electric', 'device', 'control', 'energy', 'circuit', 'apparatus', 'motor']","['A method for operating an electric machine of a compressor and/or of a turbine, which includes a rotor situated on a shaft mounted rotatably in a housing and a stator fixed to the housing, the stator including an, in particular, multiphase drive winding, and an activation of the drive winding being suspended at least intermittently in an idling mode. It is provided that the shaft and/or the rotor is/are monitored for a rotary movement, and that, when a standstill or an impending standstill of the shaft and/or of the rotor is detected, the drive winding is activated in such a way that the rotor, at least briefly, is caused to carry out a movement and/or is centered with respect to the stator by magnetic force.', 'An energy system for a vehicle system having a plurality of motors that may include a first power supply assembly that may also include a first battery assembly of a plurality of battery assemblies. The first power supply assembly also may include a first bus coupled to a first motor of the plurality of motors and coupled to the first battery assembly. A second power supply assembly may also be provided that includes a second battery assembly of the plurality of battery assemblies coupled to a second bus that is coupled to a second motor of the plurality of motors. A controller may also be provided that may be configured to vary conduction of electric current from the first battery assembly to the first motor by the first bus based on an operating condition of the second power supply assembly to provide a first input to the first motor that may be different than a second input provided to the second motor by the second battery assembly.', 'A powered wall plate with at least two electrical plug prongs configured to removably mate with an electrical receptacle of an electrical device. A protruding front face extends from the front surface and has a plurality of electrical current apertures extending into the front face, which are configured to receive an electrical plug. A plurality of mounting screw apertures extend through the wall plate, configured to receive a plurality of mounting screws to attach the wall plate to the electrical device. One of the mounting screw apertures may be located on the front face. A spacer may be placed between the wall plate and the electrical device to close a gap. A plurality of LED lights is located along a bottom edge of the front surface, a photocell is exposed on the front surface of the wall plate, and a control switch has an on position, an off position, and an auto position. A circuit between the front face and a rear surface of the wall plate is operatively coupled to a USB port on a side surface of the front face. The USB port is configured to provide power when power is supplied to the at least two electrical plug prongs.']"
0,123,0_communications_wireless_communication_transmitting,"['communications', 'wireless', 'communication', 'transmitting', 'transmit', 'signals', 'signal', 'electronic', 'devices', 'device']","['An electronic device is provided. The electronic device includes a first communication circuit, a second communication circuit supporting a wireless protocol different from the first communication circuit, a display, a processor operatively connected to the first communication circuit, the second communication circuit, and the display, and a memory. The processor is configured to identify at least one external electronic device by using the first communication circuit, transmit, to a first external electronic device, a state change request for causing the first external electronic device to transition to a first state if state change information indicating that the first external electronic device has transitioned from the first state to a second state is received before transmitting data to the first external electronic device.', 'In one form of the present disclosure, vehicle includes: a plurality of electronic devices; a first communication device configured to communicate with a terminal using a first communication method; a second communication device configured to communicate with the terminal using a second communication method; and a control device configured to wake up the plurality of electronic devices when the first communication device wakes up, switch the plurality of electronic devices to a sleep mode when the first communication device is switched to the sleep mode, and selectively control the wake up and the sleep modes of the second communication device based on a message received from the terminal.', 'Provided is a wireless communication system in which a first wireless device and a second wireless device intermittently perform wireless communication, in which the first wireless device repeatedly transmits an activation signal for activating the second wireless device at a first cycle until receiving a response signal from the second wireless device, the second wireless device repeatedly executes detection processing of the activation signal at a second cycle that is longer than the first cycle, receives, when a part of the activation signal is detected in the detection processing, the activation signal, transmits, when the activation signal is addressed to the second wireless device itself, the response signal to the first wireless device, the first wireless device transmits, when the response signal is received, data to the second wireless device, and the second wireless device receives, after transmitting the response signal, the data from the first wireless device.']"
1,87,1_electrodes_electrochemical_electrode_battery,"['electrodes', 'electrochemical', 'electrode', 'battery', 'electrolyte', 'lithium', 'anode', 'cathode', 'conductive', 'ion']","['An alkaline storage battery includes a spiral electrode group in which a positive electrode plate, a negative electrode plate, and a separator arranged between the positive electrode plate and the negative electrode plate are laminated, the negative electrode plate is located on the inner peripheral side of the positive electrode plate at an innermost peripheral portion, and an electrically conductive outer packaging can in which the spiral electrode group is accommodated together with an alkaline electrolytic solution. The negative electrode plate includes a negative electrode core body, a first negative electrode mixture layer carried on a surface on the outer peripheral side of the negative electrode core body, and a second negative electrode mixture layer carried on a surface on the inner peripheral side of the negative electrode core body. The negative electrode core body has a burr protruding toward the outer peripheral side at an edge portion of an innermost peripheral portion of the negative electrode core body. The thickness of the edge portion of an innermost peripheral portion of the first negative electrode mixture layer is smaller than the thickness of a portion other than the edge portion of the first negative electrode mixture layer. The height of the burr is 30% or less of the thickness of the separator.', 'A method for producing a battery includes providing a battery having a positive electrode, a negative electrode, and an electrolyte that includes a solvent and a salt. The capacity of the negative electrode is less than that of the positive electrode and the negative electrode includes an active material having an average potential versus a lithium reference electrode of greater than approximately 0.2 volts. The method also includes applying an initial charge to the battery at a voltage that is greater than a fully charged voltage of the battery for a sufficient amount of time to cause at least a portion of the solvent to undergo a reduction reaction. The step of applying an initial charge to the battery acts to increase the irreversible capacity loss of the battery during the initial charge and provides the battery with enhanced tolerance to deep discharge conditions.', 'A lead acid battery including: a positive electrode plate including a positive electrode grid and a positive electrode active material; a negative electrode plate including a negative electrode grid and a negative electrode active material; an electrode plate group including the positive electrode plate, the negative electrode plate, and a separator interposed between the positive electrode plate and the negative electrode plate; a battery container including a plurality of cell chambers each accommodating the electrode plate group and an electrolyte; and a lid sealing an opening of the battery container. A ratio P/N of mass P of the positive electrode active material to mass N of the negative electrode active material is 1.25 or more and 1.65 or less. The negative electrode grid contains bismuth in an amount of 1 ppm or more and 300 ppm or less.']"
2,67,2_heater_heating_evaporator_cooling,"['heater', 'heating', 'evaporator', 'cooling', 'heat', 'thermal', 'turbine', 'refrigeration', 'compressor', 'refrigerant']","['A heat pump system for a vehicle utilizes one chiller in which the coolant and the refrigerant are heat-exchanged to heat or cool a battery module. In addition, the heating efficiency is improved by selectively using the external heat and the waste heat of the electrical component and the battery module in the heating mode of the vehicle, wherein the electrical component is mounted on the coolant line connected to on the cooling apparatus of the heat pump system.', 'An exhaust heat recovery apparatus includes an exhaust heat passage through which a first heat medium holding exhaust heat flows; a second heat medium passage through which the second heat medium, of which temperature is lower than that of the first heat medium, flows; a Rankine cycle which includes a pump, an evaporator, an expander, and a condenser and causes heat exchange at the evaporator between the first heat medium flowing through the exhaust heat passage and a working fluid, so that the working fluid is evaporated, the evaporated working fluid expands at the expander, and power is generated; and an exhaust heat recovery heat exchanger which causes heat exchange between the first heat medium flowing through the exhaust heat passage and the second heat medium flowing through the second heat medium passage, so that the second heat medium is heated and exhaust heat of the first heat medium is recovered.', 'A compressed air energy storage (CAES) power generation apparatus includes a motor driven by renewable energy, a compressor driven by the motor, a pressure accumulating tank storing compressed air compressed by the compressor, an expander driven by the compressed air from the pressure accumulating tank, and a generator connected to the expander. The apparatus includes a first heat exchanger that performs heat exchange between the compressed air from the compressor to the pressure accumulating tank and a heat medium, cools the compressed air, and heats the heat medium, a heat accumulating tank that stores the heat medium heated by the first heat exchanger, a second heat exchanger that performs heat exchange between the compressed air from the pressure accumulating tank to the expander, heats the compressed air, and cools the heat medium, and third heat exchangers that perform heat exchange between the exhaust heat outside a system and a fluid in the system. The power generation efficiency of the apparatus is improved using the exhaust heat outside the system while the exhaust heat outside the system is cooled using the cold heat generated in the system of the apparatus.']"
3,66,3_power_electrical_inverter_circuit,"['power', 'electrical', 'inverter', 'circuit', 'systems', 'control', 'controlling', 'electric', 'regulator', 'converter']","['An apparatus includes an execute circuit configured to execute a plurality of operations received from a queue, as well as a power estimator circuit, and a power sensing circuit. The power estimator circuit is configured to predict power consumption due to execution of a particular operation of the plurality of operations, and to withdraw, based on the predicted power consumption, a first amount of power credits from a power credit pool. The power sensing circuit is configured to monitor one or more characteristics of a power supply node coupled to the execute circuit to generate a power value, and to deposit a second amount of power credits into the power credit pool. The second amount of power credits may be based on the power value indicating that power consumed during the execution of the particular operation is less than the predicted power consumption.', 'According to one aspect, embodiments of the invention provide a power supply system comprising a power factor correction circuit coupled to an input and configured to draw input current from the input, an inverter coupled to an output and configured to provide output current to the output, a bus coupled to the power factor correction circuit and the inverter, and a switching circuit, the switching circuit configured to direct power from the power factor correction circuit to the inverter in a first mode of operation and from the bus to the inverter in a second mode of operation, wherein the switching circuit includes a neutral clamp circuit coupled to the power factor correction circuit and the inverter, the neutral clamp circuit configured to control a level of the input current drawn by the power factor correction circuit and a level of the output current provided by the inverter.', 'A power supply system that outputs AC power to an object to which power is to be supplied includes: a first power supply circuit including a DC battery string and an inverter and configured to output first AC power; a second power supply circuit including an AC battery string and configured to output second AC power; and a control device. In the first mode, power is transferred between the object and the second power supply circuit. In the second mode, power is transferred between the object and each of the first and second power supply circuits. The control device starts supplying the second AC power to the object in the first mode, and when a power supply current becomes larger than a first threshold, supply the first and second AC power to the object in the second mode.']"
4,64,4_co2_process_dioxide_producing,"['co2', 'process', 'dioxide', 'producing', 'produced', 'gas', 'catalyst', 'production', 'fuels', 'produce']","['A carbon dioxide capture system includes a first heat exchanger that exchanges heat between an exhaust stream and a lean carbon dioxide effluent stream. The carbon dioxide capture system also includes a second heat exchanger in flow communication with the first heat exchanger. The second heat exchanger is configured to cool the exhaust stream such that a condensate is formed, and the second heat exchanger is configured to channel a condensate stream for injection into the lean carbon dioxide effluent stream. A first turboexpander including a first compressor is driven by a first turbine. The first compressor is coupled in flow communication with the first heat exchanger. The first turbine is coupled in flow communication with the first heat exchanger and configured to expand the lean carbon dioxide effluent stream. The carbon dioxide capture system further includes a carbon dioxide membrane unit coupled in flow communication with the first compressor.', 'A process to produce at least carbon dioxide and carbon monoxide from a feed gas containing carbon dioxide, hydrogen and carbon monoxide; comprises separating at least part of the carbon dioxide from the compressed feed gas by partial condensation and/or distillation producing a carbon dioxide product and a carbon dioxide depleted stream, treating the carbon dioxide depleted stream in a treatment unit to produce a feed stream containing carbon monoxide and hydrogen, less rich in carbon dioxide than the carbon dioxide depleted stream and feeding at least part of the feed stream containing carbon monoxide and hydrogen to a separation unit operating at cryogenic temperatures to produce a carbon monoxide product.', 'A method of producing temperature and pressure conditioned fluids using a fuel cell. The fuel cell generates an anode exhaust stream of water vapour and carbon dioxide. The water in the exhaust stream is condensed and separated to produce a stream of water and a stream of carbon dioxide. A first portion of the stream of water is heated to produce a stream of steam, which is combined with the fuel to form the anode input stream. A stream of condensed carbon dioxide is obtained by condensing at least a portion of the carbon dioxide in the stream of carbon dioxide. At least one fluid is heated and compressed to a target temperature and pressure for each fluid, the at least one fluid comprising a second portion of the stream of water or at least a portion of the condensed carbon dioxide.']"
5,49,5_combustion_engines_engine_fuel,"['combustion', 'engines', 'engine', 'fuel', 'intake', 'inlet', 'diesel', 'exhaust', 'systems', 'gasoline']","['An internal combustion engine comprises an engine body, a filter provided in an exhaust passage of the engine body and trapping particulate matter in the exhaust, and a temperature sensor detecting a temperature of gas flowing cut from the filter. A control device controlling this internal combustion engine comprises a fuel cut control pan configured to perform fuel cut control stopping a supply of fuel to a combustion chamber of the engine body and a forced ending part configured to forcibly make the fuel cut control end even if a condition for performance of fuel cut control had stood based on a trend in change of temperature of the gas temperature detected by the temperature sensor.', ""A secondary fueling system for a diesel internal combustion engine includes an injector which injects an oxygen-containing secondary fuel into the engine's air intake system, a pump which pumps the secondary fuel to the injector, a sensor which senses pressure in the air intake system, and a secondary fuel controller which receives output signals from the sensor and pump, operator inputs for the engine, and data signals pertaining to operation of the engine from the main engine controller, determines an injection amount of the secondary fuel based thereon, and controls the pump based on the determined injection amount. A position of the injector in the engine's air intake system is distant from the engine's intake valves and is based on the engine's displacement, e.g., it relates to approximately equal to one quarter of the engine's displacement."", 'A fuel injection control apparatus of an internal combustion engine, which can appropriately control the amount of fuel injection from an in-cylinder injection valve so as to achieve a desired air-fuel ratio, regardless of the operating state of the internal combustion engine, is provided. The fuel injection control apparatus comprises: an additional injection means which, when determining that the operating state of the internal combustion engine is a transient state, allows the in-cylinder injection valve to inject a fuel amount conformed to a changing intake air amount; and a subtraction means for subtracting a minimum fuel amount, injectable from the in-cylinder injection valve, from a fuel amount to be injected, before injection by the additional injection means is performed.']"
6,46,6_photovoltaic_solar_panels_pv,"['photovoltaic', 'solar', 'panels', 'pv', 'panel', 'semiconductor', 'reflectors', 'photoelectric', 'substrate', 'energy']","['A solar energy collecting system includes a substrate and at least one solar chip. The substrate includes a first surface, a second surface and a plurality of lateral surfaces, wherein the first surface faces the second surface, the lateral surfaces are adjacent to the first and second surfaces, and a first micro structure is formed on the first or the second surface. The solar chip is near one of the lateral surfaces. Solar light penetrates the first and the second surface and is refracted or reflected by the first micro structure to leave the substrate via the lateral surface and be absorbed by the solar chip.', 'A roof-mounted solar power system for generating electrical power that includes a plurality of solar modules adapted for generating electrical power from sunlight, and with each of the plurality of solar modules having substantially the same size, aspect ratio and surface coloring. The plurality of solar modules are mounted on the deck of a roof to form a bank of solar modules having at least one irregular edge. The solar power system further includes one or more non-power generating edge treatments having substantially the same size, aspect ratio and surface coloring as the solar modules and that are adapted for installation along the irregular edge. Each edge treatment is adapted for a cutting away of at least one corner thereof to smooth the irregular edge of the bank of solar modules to a regular edge.', 'There is provided a solar panel including: solar cells each of which is formed in a belt-shape extending in a predetermined direction on a plate-shaped surface and which are disposed in rows in a cell-width direction; a partition area that divides the solar cells from each other; and a connecting part that connects adjoining solar cells among the solar cells electrically in series at respective ends in the extending direction. The solar cells have, across at least two of the solar cells, a transparent power generation area in which a power generation area and a transparent area are alternately disposed in the extending direction. The transparent power generation area extends over an entire cell width of at least one of the solar cells, and the connecting part is disposed at each of opposite ends in the extending direction of the at least one solar cell.']"
7,44,7_vehicle_control_driving_controlling,"['vehicle', 'control', 'driving', 'controlling', 'braking', 'motor', 'hybrid', 'engine', 'controller', 'speed']","['The invention relates to a method, system, vehicle, and computer program product for gear shifting in a hybrid powertrain, that comprises an internal combustion engine; an electric machine; a gearbox; and an energy storage unit connected to the electric machine, and at least one control unit arranged in communication with the internal combustion engine, the electric machine, the gearbox and the energy storage unit. The method comprises the steps of: determining an energy level in the energy storage unit; determining an acceleration ability with a subsequent gear; determining a target engine speed for the internal combustion engine based on the energy level in the energy storage unit and the acceleration ability; and controlling the gear shifting based on the target engine speed.', 'A lawn mower including a housing; a walking mechanism, supporting the housing and driving the housing to move, and including at least one drive wheel; at least one motor to drive the at least one drive wheel to rotate; and a control apparatus, preset with a first and a second torque threshold. And when the motor is switched from a stopped state to a running state, the control apparatus controls a difference between a maximum operating output torque of the motor and the first threshold to be within a predetermined range, when the motor is in the running state, the control apparatus controls an operating output torque of the at least one motor to at most increase to the second threshold, the first threshold is less than or equal to a maximum output torque of the motor, and the second threshold is less than the first threshold.', 'The present disclosure provides a drive control method and a drive control device of a hybrid electric vehicle. The method includes: obtaining a current gear position of the vehicle, a current electric charge level of a power battery and a slope of a road on which the vehicle is driving; determining whether the vehicle is within a taxiing start-stop interval according to the current gear position, the current electric charge level, and the slope; if the vehicle is within the taxiing start-stop interval, obtaining a current speed of the vehicle; if the current speed is greater than or equal to a first speed threshold, and less than a second speed threshold, causing the vehicle to enter a small load stop mode; and if the current speed is greater than or equal to the second speed threshold, and less than a third speed threshold, causing the vehicle to enter a small load stall mode.']"
8,37,8_materials_material_silicon_polymer,"['materials', 'material', 'silicon', 'polymer', 'composite', 'inorganic', 'coating', 'substrate', 'graphene', 'carbon']","['The present disclosure relates to the field of carbonaceous composite materials, in particular to a silicon-carbon composite material and a preparation method and a use thereof. The silicon-carbon composite material comprises a composite carbon material and nanometer silicon dispersed therein, wherein the composite carbon material is consisting of a graphitic crystal phase and an amorphous carbon phase, wherein the ratio I002/Iamor of the peak intensity I002 of the graphite crystal phase (002) plane relative to the peak intensity Iamor of the amorphous carbon phase as measured by the X-Ray Diffraction (XRD) is within a range of 0.1-40, the graphite crystalline phase is uniformly dispersed in the composite material, the dispersion coefficient δ of the ratio Id/Ig of Id and Ig as measured by Raman data is less than 0.8. The silicon-carbon composite material provided by the present disclosure can be used as an anode material of a lithium ion battery, such that the lithium ion battery has desirable first charge and discharge performance and cycle stability, and the service life of the lithium ion battery can be prolonged.', 'The invention relates to nuclear physics, and specifically to reactor fuel elements and units thereof, and particularly to the composition of solid ceramic fuel elements based on uranium dioxide, intended for and exhibiting characteristics for being used in variously-purposed nuclear reactors. The result consists in a more reliable, special structure and a simple composition of uranium dioxide without heterogeneous fuel pellet additives, approaching the characteristics of a monocrystal having enhanced, and specifically exceeding reference data, thermal conductivity as temperature increases, and a simple production method thereof. The result is achieved in that pores of between 1 and 5 microns in size are distributed along the perimeters of grains in the micro-structure of each metal cluster in a nuclear fuel pellet, and in that located within the grains are pores which are predominantly nano-sized. In addition, the metal clusters comprise between 0.01 and 1.0 percent by mass. The invention provides for a method of preparing a nuclear fuel pellet, including precipitating metal hydroxides, in two stages, having different pH levels. Uranium metal is melted at a temperature exceeding 1150 DEG C., sintering is carried out in an insignificant amount of liquid phase at a temperature ranging between 1600 and 2200 DEG C. in a hydrogen medium until forming uranium dioxide, the structure of which includes metal clusters dispersed therein. An X-ray photon spectroscope is used for identifying the new structure of the UO2 pellet and the additional U—U chemical bond.', 'Certain example embodiments relate to a coated article including at least one infrared (IR) reflecting layer of a material such as silver or the like in a low-E coating, and methods of making the same. In certain cases, at least one layer of the coating is of or includes nickel and/or titanium (e.g., NixTiyOz). The provision of a layer including nickel titanium and/or an oxide thereof may permit a layer to be used that has good adhesion to the IR reflecting layer, and reduced absorption of visible light (resulting in a coated article with a higher visible transmission). When a layer including nickel titanium oxide is provided directly over and/or under the IR reflecting layer (e.g., as a barrier layer), this may result in improved chemical and mechanical durability. Thus, visible transmission may be improved if desired, without compromising durability; or, durability may simply be increased.']"
