Topic,Count,Name,Representation,Representative_Docs
-1,319,-1_system_electrical_power_circuit,"['system', 'electrical', 'power', 'circuit', 'device', 'control', 'controller', 'energy', 'electric', 'storage']","['A vehicle power supply box device includes: a first system including a first relay connected downstream of a second line for feeding electric power in association with a state of an ignition switch, to be turned ON/OFF in association with the state; and a second system including a second relay connected downstream of a first line for constantly feeding electric power, to be turned ON/OFF in association with the state of the ignition switch. The device further includes: a recovery switch portion connected between an output of a switch portion of the first relay and an output of the second system; an operation abnormality detecting portion which detects presence/absence of abnormality in the output of the switch portion of the second relay; and a recovery control portion which controls the recovery switch portion to be turned ON/OFF in accordance with the presence/absence of the abnormality.', 'Systems and methods for data storage power management are described. In one embodiment, the method includes analyzing metrics collected from one or more storage devices, identifying, based at least in part on analyzing the metrics, a pattern of activity for at least one of the one or more storage devices over a predetermined period of time, generating a control model based at least in part on the identified pattern of activity, and modifying a power mode of at least one of the one or more storage devices based on the control mode. The control model indicate a first time period when at least one of the one or more storage devices is active and a second time period when at least one of the one or more storage devices is inactive.', 'An energy system for a vehicle system having a plurality of motors that may include a first power supply assembly that may also include a first battery assembly of a plurality of battery assemblies. The first power supply assembly also may include a first bus coupled to a first motor of the plurality of motors and coupled to the first battery assembly. A second power supply assembly may also be provided that includes a second battery assembly of the plurality of battery assemblies coupled to a second bus that is coupled to a second motor of the plurality of motors. A controller may also be provided that may be configured to vary conduction of electric current from the first battery assembly to the first motor by the first bus based on an operating condition of the second power supply assembly to provide a first input to the first motor that may be different than a second input provided to the second motor by the second battery assembly.']"
0,128,0_communications_communication_wireless_electronic,"['communications', 'communication', 'wireless', 'electronic', 'transmitting', 'transmit', 'signals', 'signal', 'devices', 'device']","['An electronic device is provided. The electronic device includes a first communication circuit, a second communication circuit supporting a wireless protocol different from the first communication circuit, a display, a processor operatively connected to the first communication circuit, the second communication circuit, and the display, and a memory. The processor is configured to identify at least one external electronic device by using the first communication circuit, transmit, to a first external electronic device, a state change request for causing the first external electronic device to transition to a first state if state change information indicating that the first external electronic device has transitioned from the first state to a second state is received before transmitting data to the first external electronic device.', 'In one form of the present disclosure, vehicle includes: a plurality of electronic devices; a first communication device configured to communicate with a terminal using a first communication method; a second communication device configured to communicate with the terminal using a second communication method; and a control device configured to wake up the plurality of electronic devices when the first communication device wakes up, switch the plurality of electronic devices to a sleep mode when the first communication device is switched to the sleep mode, and selectively control the wake up and the sleep modes of the second communication device based on a message received from the terminal.', 'Provided is a wireless communication system in which a first wireless device and a second wireless device intermittently perform wireless communication, in which the first wireless device repeatedly transmits an activation signal for activating the second wireless device at a first cycle until receiving a response signal from the second wireless device, the second wireless device repeatedly executes detection processing of the activation signal at a second cycle that is longer than the first cycle, receives, when a part of the activation signal is detected in the detection processing, the activation signal, transmits, when the activation signal is addressed to the second wireless device itself, the response signal to the first wireless device, the first wireless device transmits, when the response signal is received, data to the second wireless device, and the second wireless device receives, after transmitting the response signal, the data from the first wireless device.']"
1,63,1_co2_methane_process_dioxide,"['co2', 'methane', 'process', 'dioxide', 'producing', 'produced', 'gas', 'catalyst', 'production', 'fuels']","['A method for maximizing the value of gas streams containing carbon dioxide, carbon monoxide, and hydrogen including splitting a carbon dioxide, carbon monoxide, and hydrogen containing stream into a first fraction and a second fraction, introducing at least a portion of a scrubbed first fraction into a temperature swing adsorption unit to further remove carbon dioxide and to remove water, separating at least a portion of the scrubbed and dried first fraction to produce a carbon monoxide product stream and a hydrogen product stream, combining at least a portion of the hydrogen product stream and the second fraction to produce a methanol-synthesis gas stream, wherein at least a portion of a crude methanol stream, generated after a single pass through the methanol synthesis reactor, is withdrawn and used as a crude methanol product, and wherein the methanol-synthesis gas stream is produced without utilizing a water gas shift reaction.', 'A process to produce at least carbon dioxide and carbon monoxide from a feed gas containing carbon dioxide, hydrogen and carbon monoxide; comprises separating at least part of the carbon dioxide from the compressed feed gas by partial condensation and/or distillation producing a carbon dioxide product and a carbon dioxide depleted stream, treating the carbon dioxide depleted stream in a treatment unit to produce a feed stream containing carbon monoxide and hydrogen, less rich in carbon dioxide than the carbon dioxide depleted stream and feeding at least part of the feed stream containing carbon monoxide and hydrogen to a separation unit operating at cryogenic temperatures to produce a carbon monoxide product.', 'A method of producing temperature and pressure conditioned fluids using a fuel cell. The fuel cell generates an anode exhaust stream of water vapour and carbon dioxide. The water in the exhaust stream is condensed and separated to produce a stream of water and a stream of carbon dioxide. A first portion of the stream of water is heated to produce a stream of steam, which is combined with the fuel to form the anode input stream. A stream of condensed carbon dioxide is obtained by condensing at least a portion of the carbon dioxide in the stream of carbon dioxide. At least one fluid is heated and compressed to a target temperature and pressure for each fluid, the at least one fluid comprising a second portion of the stream of water or at least a portion of the condensed carbon dioxide.']"
2,58,2_heater_heating_hvac_evaporator,"['heater', 'heating', 'hvac', 'evaporator', 'cooling', 'heat', 'thermal', 'turbine', 'heated', 'refrigeration']","['A heat pump system for a vehicle utilizes one chiller in which the coolant and the refrigerant are heat-exchanged to heat or cool a battery module. In addition, the heating efficiency is improved by selectively using the external heat and the waste heat of the electrical component and the battery module in the heating mode of the vehicle, wherein the electrical component is mounted on the coolant line connected to on the cooling apparatus of the heat pump system.', 'An exhaust heat recovery apparatus includes an exhaust heat passage through which a first heat medium holding exhaust heat flows; a second heat medium passage through which the second heat medium, of which temperature is lower than that of the first heat medium, flows; a Rankine cycle which includes a pump, an evaporator, an expander, and a condenser and causes heat exchange at the evaporator between the first heat medium flowing through the exhaust heat passage and a working fluid, so that the working fluid is evaporated, the evaporated working fluid expands at the expander, and power is generated; and an exhaust heat recovery heat exchanger which causes heat exchange between the first heat medium flowing through the exhaust heat passage and the second heat medium flowing through the second heat medium passage, so that the second heat medium is heated and exhaust heat of the first heat medium is recovered.', 'A compressed air energy storage (CAES) power generation apparatus includes a motor driven by renewable energy, a compressor driven by the motor, a pressure accumulating tank storing compressed air compressed by the compressor, an expander driven by the compressed air from the pressure accumulating tank, and a generator connected to the expander. The apparatus includes a first heat exchanger that performs heat exchange between the compressed air from the compressor to the pressure accumulating tank and a heat medium, cools the compressed air, and heats the heat medium, a heat accumulating tank that stores the heat medium heated by the first heat exchanger, a second heat exchanger that performs heat exchange between the compressed air from the pressure accumulating tank to the expander, heats the compressed air, and cools the heat medium, and third heat exchangers that perform heat exchange between the exhaust heat outside a system and a fluid in the system. The power generation efficiency of the apparatus is improved using the exhaust heat outside the system while the exhaust heat outside the system is cooled using the cold heat generated in the system of the apparatus.']"
3,53,3_electrode_batteries_electrochemical_battery,"['electrode', 'batteries', 'electrochemical', 'battery', 'electrolyte', 'lithium', 'anode', 'cathode', 'current', 'ion']","['An alkaline storage battery includes a spiral electrode group in which a positive electrode plate, a negative electrode plate, and a separator arranged between the positive electrode plate and the negative electrode plate are laminated, the negative electrode plate is located on the inner peripheral side of the positive electrode plate at an innermost peripheral portion, and an electrically conductive outer packaging can in which the spiral electrode group is accommodated together with an alkaline electrolytic solution. The negative electrode plate includes a negative electrode core body, a first negative electrode mixture layer carried on a surface on the outer peripheral side of the negative electrode core body, and a second negative electrode mixture layer carried on a surface on the inner peripheral side of the negative electrode core body. The negative electrode core body has a burr protruding toward the outer peripheral side at an edge portion of an innermost peripheral portion of the negative electrode core body. The thickness of the edge portion of an innermost peripheral portion of the first negative electrode mixture layer is smaller than the thickness of a portion other than the edge portion of the first negative electrode mixture layer. The height of the burr is 30% or less of the thickness of the separator.', 'A secondary battery according to one aspect of the present disclosure includes a negative electrode which includes a negative electrode core and a negative electrode active material layer provided on at least one surface of the negative electrode core. In this secondary battery, the negative electrode active material layer includes a negative electrode active material which contains graphite having a crystalline size of 10 nm or more and an interlayer distance d002 of 0.3356 to 0.3360 nm and a rubber-based binding material having an average primary particle diameter of 120 to 250 nm, the negative electrode active material has a pore capacity of 0.5 ml/g or less at a pore diameter of 0.2 to 1 μm measured by a mercury porosimeter, and the rate of the average primary particle diameter of the rubber-based binding material to the pore capacity of the negative electrode active material is 1.15 to 1.70 g/m2.', 'A lead acid battery including: a positive electrode plate including a positive electrode grid and a positive electrode active material; a negative electrode plate including a negative electrode grid and a negative electrode active material; an electrode plate group including the positive electrode plate, the negative electrode plate, and a separator interposed between the positive electrode plate and the negative electrode plate; a battery container including a plurality of cell chambers each accommodating the electrode plate group and an electrolyte; and a lid sealing an opening of the battery container. A ratio P/N of mass P of the positive electrode active material to mass N of the negative electrode active material is 1.25 or more and 1.65 or less. The negative electrode grid contains bismuth in an amount of 1 ppm or more and 300 ppm or less.']"
4,52,4_combustion_engines_engine_fuel,"['combustion', 'engines', 'engine', 'fuel', 'intake', 'inlet', 'diesel', 'exhaust', 'systems', 'gasoline']","['An internal combustion engine comprises an engine body, a filter provided in an exhaust passage of the engine body and trapping particulate matter in the exhaust, and a temperature sensor detecting a temperature of gas flowing cut from the filter. A control device controlling this internal combustion engine comprises a fuel cut control pan configured to perform fuel cut control stopping a supply of fuel to a combustion chamber of the engine body and a forced ending part configured to forcibly make the fuel cut control end even if a condition for performance of fuel cut control had stood based on a trend in change of temperature of the gas temperature detected by the temperature sensor.', ""A secondary fueling system for a diesel internal combustion engine includes an injector which injects an oxygen-containing secondary fuel into the engine's air intake system, a pump which pumps the secondary fuel to the injector, a sensor which senses pressure in the air intake system, and a secondary fuel controller which receives output signals from the sensor and pump, operator inputs for the engine, and data signals pertaining to operation of the engine from the main engine controller, determines an injection amount of the secondary fuel based thereon, and controls the pump based on the determined injection amount. A position of the injector in the engine's air intake system is distant from the engine's intake valves and is based on the engine's displacement, e.g., it relates to approximately equal to one quarter of the engine's displacement."", 'A fuel injection control apparatus of an internal combustion engine, which can appropriately control the amount of fuel injection from an in-cylinder injection valve so as to achieve a desired air-fuel ratio, regardless of the operating state of the internal combustion engine, is provided. The fuel injection control apparatus comprises: an additional injection means which, when determining that the operating state of the internal combustion engine is a transient state, allows the in-cylinder injection valve to inject a fuel amount conformed to a changing intake air amount; and a subtraction means for subtracting a minimum fuel amount, injectable from the in-cylinder injection valve, from a fuel amount to be injected, before injection by the additional injection means is performed.']"
5,41,5_solar_photovoltaic_panel_pv,"['solar', 'photovoltaic', 'panel', 'pv', 'roof', 'structure', 'reflectors', 'substrate', 'surface', 'efficiency']","['A solar energy collecting system includes a substrate and at least one solar chip. The substrate includes a first surface, a second surface and a plurality of lateral surfaces, wherein the first surface faces the second surface, the lateral surfaces are adjacent to the first and second surfaces, and a first micro structure is formed on the first or the second surface. The solar chip is near one of the lateral surfaces. Solar light penetrates the first and the second surface and is refracted or reflected by the first micro structure to leave the substrate via the lateral surface and be absorbed by the solar chip.', 'A roof-mounted solar power system for generating electrical power that includes a plurality of solar modules adapted for generating electrical power from sunlight, and with each of the plurality of solar modules having substantially the same size, aspect ratio and surface coloring. The plurality of solar modules are mounted on the deck of a roof to form a bank of solar modules having at least one irregular edge. The solar power system further includes one or more non-power generating edge treatments having substantially the same size, aspect ratio and surface coloring as the solar modules and that are adapted for installation along the irregular edge. Each edge treatment is adapted for a cutting away of at least one corner thereof to smooth the irregular edge of the bank of solar modules to a regular edge.', 'There is provided a solar panel including: solar cells each of which is formed in a belt-shape extending in a predetermined direction on a plate-shaped surface and which are disposed in rows in a cell-width direction; a partition area that divides the solar cells from each other; and a connecting part that connects adjoining solar cells among the solar cells electrically in series at respective ends in the extending direction. The solar cells have, across at least two of the solar cells, a transparent power generation area in which a power generation area and a transparent area are alternately disposed in the extending direction. The transparent power generation area extends over an entire cell width of at least one of the solar cells, and the connecting part is disposed at each of opposite ends in the extending direction of the at least one solar cell.']"
6,41,6_vehicle_control_driving_controlling,"['vehicle', 'control', 'driving', 'controlling', 'braking', 'motor', 'controls', 'hybrid', 'engine', 'controller']","['The invention relates to a method, system, vehicle, and computer program product for gear shifting in a hybrid powertrain, that comprises an internal combustion engine; an electric machine; a gearbox; and an energy storage unit connected to the electric machine, and at least one control unit arranged in communication with the internal combustion engine, the electric machine, the gearbox and the energy storage unit. The method comprises the steps of: determining an energy level in the energy storage unit; determining an acceleration ability with a subsequent gear; determining a target engine speed for the internal combustion engine based on the energy level in the energy storage unit and the acceleration ability; and controlling the gear shifting based on the target engine speed.', 'A lawn mower including a housing; a walking mechanism, supporting the housing and driving the housing to move, and including at least one drive wheel; at least one motor to drive the at least one drive wheel to rotate; and a control apparatus, preset with a first and a second torque threshold. And when the motor is switched from a stopped state to a running state, the control apparatus controls a difference between a maximum operating output torque of the motor and the first threshold to be within a predetermined range, when the motor is in the running state, the control apparatus controls an operating output torque of the at least one motor to at most increase to the second threshold, the first threshold is less than or equal to a maximum output torque of the motor, and the second threshold is less than the first threshold.', 'The present disclosure provides a drive control method and a drive control device of a hybrid electric vehicle. The method includes: obtaining a current gear position of the vehicle, a current electric charge level of a power battery and a slope of a road on which the vehicle is driving; determining whether the vehicle is within a taxiing start-stop interval according to the current gear position, the current electric charge level, and the slope; if the vehicle is within the taxiing start-stop interval, obtaining a current speed of the vehicle; if the current speed is greater than or equal to a first speed threshold, and less than a second speed threshold, causing the vehicle to enter a small load stop mode; and if the current speed is greater than or equal to the second speed threshold, and less than a third speed threshold, causing the vehicle to enter a small load stall mode.']"
7,41,7_turbines_turbine_wind_generator,"['turbines', 'turbine', 'wind', 'generator', 'rotor', 'bearing', 'blades', 'generatorside', 'rotation', 'farm']","['Support structures of a wind turbine, including a bearing housing that supports bearings that allow a rotor shaft to rotate about a rotor axis. The bearing housing may be constructed to minimize forces in the bearings in response moments that act on the rotor shaft about axes other than the rotor axis. The support structures of the wind turbine may also include a base to which the bearing housing may be mounted. The base may include features that minimize stress within the wind turbine structure and/or a yaw mechanism of the wind turbine in response to moments that act within the wind turbine about axes other than the rotor axis.', 'The present invention relates to a floating wind energy harvesting apparatus for offshore installation, comprising an elongated wind turbine body extending along a longitudinal wind turbine body axis, said wind turbine body comprising a lower body portion and an upper body portion; wind turbine blades attached to the upper body portion; at least a first cavity inside said wind turbine body and arranged within a first radial distance from said longitudinal wind turbine body axis; at least a second cavity arranged within a second radial distance, greater than said first radial distance, from said longitudinal wind turbine body axis; at least a first pump for pumping water from said first cavity to said second cavity; and an energy converter attached to said wind turbine body for converting the rotation of said wind turbine body to electrical energy.', 'The present invention discloses a wind turbine yaw control method and system, the method comprising the following steps: establishing a reference model, giving the optimal yaw reference model different wind speeds for wind shift angles; using model reference adaptive control; getting the adaptive control input so that the difference between the actual yaw angle deviation of the wind and the optimal wind yaw angle deviation is at a minimum. The wind turbine yaw control method and system of the present invention can adaptively track the wind speed in different sections of the optimum wind yaw deviation, improve operating performance under the influence of factors such as wind direction measurement and bias of the yaw system in order to achieve maximum efficiency absorption of wind energy, as well as optimize wind turbine power generation to improve economic efficiency and the operation of the entire wind farm.']"
8,38,8_manufacturing_processing_additive_molding,"['manufacturing', 'processing', 'additive', 'molding', 'components', 'producing', 'layers', 'substrate', '3d', 'structure']","['An apparatus for manufacturing a three-dimensional object by a layer-by-layer solidification of building material at the points corresponding to the cross-section of the object to be manufactured in a respective layer. The apparatus includes a process chamber in which the object is to be built up layer by layer by selectively solidifying layers of a building material in a build area, a gas supply device, and a recirculating air filter device, wherein the apparatus comprises a pressure stabilization device configured to keep the pressure in the process chamber substantially constant.', 'A process is provided for additively manufacturing at least one part. The processing includes depositing a substantially uniform layer of material over at least a portion of a support surface using a belt that contacts the material. The process also includes solidifying at least a portion of the layer of material using a solidification device to form at least a portion of the part.', 'A method for providing control data for manufacturing at least one three-dimensional object by means of a layer-wise solidification of a building material in an additive manufacturing apparatus is provided. The method includes at least the following steps: a) determining the locations corresponding to the cross section of the at least one object, b) determining at least two different regions to be solidified in said at least one layer, wherein said at least two regions are chosen from the group of: sandwiched region, down-facing region and up-facing region, c) defining a scanning sequence for the beam so as to solidify the building material at least at the locations corresponding to said portion of the cross section of the object, wherein at an interface between a first and a second region differing from each other a scan line of the beam is continuous and at least one beam parameter value is changed.']"
